	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
GCA_015359315.1_PDT000820161.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3010302	0	229	229	31024	31024	13145	13145	120812	120812	37.8	3.3	85.66	11	3014	1	171	0	0	0	0
GCA_015359335.1_PDT000820162.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2915611	0	241	241	24619	24619	12097	12097	72235	72235	38.0	4.01	85.84	11	2893	1	169	2	0	0	0
GCA_015359355.1_PDT000820166.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3014037	0	205	205	46227	46227	14702	14702	120812	120812	37.9	3.73	85.63	11	3001	1	171	0	0	0	0
GCA_015359375.1_PDT000820159.1	Firmicutes (1)	1349	172	99	98.99	1.68	100.0	3093033	0	204	204	39241	39241	15161	15161	130088	130088	37.9	4.4	85.64	11	3094	1	168	3	0	0	0
GCA_015359395.1_PDT000820182.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3182423	0	179	179	47470	47470	17778	17778	247760	247760	37.8	4.63	85.34	11	3166	1	169	2	0	0	0
GCA_015359415.1_PDT000820178.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3054056	0	271	271	37077	37077	11269	11269	101065	101065	37.9	4.31	85.68	11	3055	1	171	0	0	0	0
GCA_015359435.1_PDT000820176.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2910382	0	234	234	28239	28239	12437	12437	120812	120812	37.9	3.39	85.71	11	2894	1	171	0	0	0	0
GCA_015359455.1_PDT000820175.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2908384	0	189	189	35482	35482	15388	15388	114164	114164	38.1	4.17	85.61	11	2868	1	171	0	0	0	0
GCA_015359475.1_PDT000820174.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2898558	0	198	198	34130	34130	14639	14639	91931	91931	38.0	4.21	85.6	11	2864	1	171	0	0	0	0
GCA_015359495.1_PDT000820172.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2928183	0	204	204	41973	41973	14353	14353	129377	129377	38.0	3.48	85.61	11	2904	1	171	0	0	0	0
GCA_015359515.1_PDT000820173.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3029811	0	204	204	41973	41973	14852	14852	120812	120812	37.9	3.51	85.6	11	3025	1	171	0	0	0	0
GCA_015359535.1_PDT000820177.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2896875	0	187	187	37219	37219	15491	15491	91931	91931	38.0	4.29	85.58	11	2859	1	171	0	0	0	0
GCA_015359555.1_PDT000820171.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2975369	0	196	196	40703	40703	15180	15180	120812	120812	38.0	3.45	85.63	11	2933	1	170	1	0	0	0
GCA_015359575.1_PDT000820170.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2979354	0	200	200	34687	34687	14896	14896	120812	120812	38.1	3.54	85.74	11	2940	1	170	1	0	0	0
GCA_015359595.1_PDT000820168.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2912483	0	198	198	31740	31740	14709	14709	79382	79382	38.1	4.33	85.75	11	2873	1	171	0	0	0	0
GCA_015359615.1_PDT000820169.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3042881	0	214	214	34345	34345	14219	14219	119961	119961	38.0	4.16	85.82	11	3023	1	171	0	0	0	0
GCA_015359635.1_PDT000820158.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3011091	0	188	188	40639	40639	16016	16016	120812	120812	37.9	3.56	85.62	11	2996	1	171	0	0	0	0
GCA_015359655.1_PDT000820156.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3064504	0	274	274	34522	34522	11184	11184	92214	92214	37.9	4.07	85.75	11	3074	1	171	0	0	0	0
GCA_015359675.1_PDT000820157.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2981551	0	288	288	21266	21266	10352	10352	58275	58275	37.9	3.79	85.91	11	3016	1	171	0	0	0	0
GCA_015359695.1_PDT000820153.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3063795	0	241	241	34687	34687	12712	12712	120812	120812	38.1	3.88	85.69	11	3067	1	171	0	0	0	0
GCA_015359715.1_PDT000820152.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3002570	0	192	192	34273	34273	15638	15638	91931	91931	37.9	4.26	85.57	11	2991	1	171	0	0	0	0
GCA_015359735.1_PDT000820155.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3057195	0	194	194	34702	34702	15758	15758	164098	164098	37.9	4.02	85.58	11	3036	1	171	0	0	0	0
GCA_015359755.1_PDT000820154.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3055930	0	216	216	33892	33892	14147	14147	120812	120812	37.9	3.63	85.49	11	3045	1	170	1	0	0	0
GCA_015359775.1_PDT000820150.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3031906	0	206	206	32983	32983	14717	14717	120812	120812	37.8	3.59	85.51	11	3034	1	171	0	0	0	0
GCA_015359795.1_PDT000820148.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2936004	0	204	204	41973	41973	14392	14392	129385	129385	38.0	3.54	85.61	11	2899	1	171	0	0	0	0
GCA_015359815.1_PDT000820151.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3008805	0	258	258	27614	27614	11662	11662	89925	89925	37.8	3.58	85.63	11	3029	1	171	0	0	0	0
GCA_015359835.1_PDT000820145.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3138634	0	207	207	38705	38705	15162	15162	108288	108288	37.9	3.94	85.56	11	3144	1	168	3	0	0	0
GCA_015359855.1_PDT000820144.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2976445	0	198	198	35377	35377	15032	15032	120812	120812	38.1	3.56	85.66	11	2940	1	171	0	0	0	0
GCA_015359875.1_PDT000820124.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3086840	0	203	203	40703	40703	15206	15206	120812	120812	37.9	3.44	85.5	11	3079	1	169	2	0	0	0
GCA_015359895.1_PDT000820149.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3028067	0	203	203	40879	40879	14916	14916	120812	120812	37.9	3.56	85.58	11	3017	1	171	0	0	0	0
GCA_015359915.1_PDT000820146.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3073290	0	208	208	38148	38148	14775	14775	120812	120812	37.9	3.6	85.61	11	3068	1	171	0	0	0	0
GCA_015359935.1_PDT000820143.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3009864	0	234	234	30041	30041	12862	12862	92021	92021	37.8	4.2	85.56	11	2980	1	171	0	0	0	0
GCA_015359955.1_PDT000820141.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3024702	0	210	210	41973	41973	14403	14403	172809	172809	37.9	3.68	85.62	11	3003	1	171	0	0	0	0
GCA_015359975.1_PDT000820136.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2991570	0	437	437	11679	11679	6845	6845	77961	77961	37.9	3.29	86.22	11	3097	1	169	2	0	0	0
GCA_015359995.1_PDT000820142.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3093095	0	188	188	43441	43441	16452	16452	250187	250187	37.9	4.1	85.47	11	3067	1	169	2	0	0	0
GCA_015360015.1_PDT000820140.1	Firmicutes (1)	1349	172	99	98.99	0.09	0.0	2897099	0	329	329	15983	15983	8805	8805	86004	86004	38.0	3.29	86.19	11	2940	1	170	1	0	0	0
GCA_015360035.1_PDT000820139.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2932337	0	248	248	24033	24033	11823	11823	93452	93452	37.9	3.32	85.83	11	2928	1	171	0	0	0	0
GCA_015360055.1_PDT000820137.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3101041	0	179	179	49989	49989	17324	17324	249275	249275	38.0	4.14	85.32	11	3072	1	169	2	0	0	0
GCA_015360075.1_PDT000820138.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3081433	0	180	180	49989	49989	17119	17119	249486	249486	37.9	3.93	85.35	11	3055	1	167	4	0	0	0
GCA_015360095.1_PDT000820135.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3076760	0	196	196	41973	41973	15697	15697	172809	172809	37.9	3.74	85.64	11	3053	1	169	2	0	0	0
GCA_015360115.1_PDT000820132.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3066434	0	189	189	47470	47470	16224	16224	249486	249486	37.9	3.95	85.48	11	3040	1	171	0	0	0	0
GCA_015360135.1_PDT000820133.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3086147	0	176	176	44083	44083	17534	17534	129378	129378	37.8	4.37	85.63	11	3065	1	168	3	0	0	0
GCA_015360155.1_PDT000820134.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3065768	0	180	180	36484	36484	17032	17032	249274	249274	37.9	3.9	85.49	11	3035	1	171	0	0	0	0
GCA_015360175.1_PDT000820131.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2934821	0	206	206	47470	47470	14246	14246	129371	129371	37.9	3.61	85.52	11	2907	1	171	0	0	0	0
GCA_015360195.1_PDT000820129.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	2998867	0	207	207	38122	38122	14487	14487	129370	129370	38.1	3.47	85.63	11	2962	1	167	4	0	0	0
GCA_015360215.1_PDT000820130.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2925366	0	208	208	38128	38128	14064	14064	120812	120812	37.9	3.36	85.6	11	2895	1	170	1	0	0	0
GCA_015360235.1_PDT000820126.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3097973	0	198	198	40814	40814	15646	15646	112922	112922	38.0	4.45	85.59	11	3050	1	169	2	0	0	0
GCA_015360255.1_PDT000820125.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3074046	0	210	210	32384	32384	14638	14638	120816	120816	37.9	3.58	85.43	11	3056	1	168	3	0	0	0
GCA_015360275.1_PDT000820128.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3079706	0	186	186	48530	48530	16557	16557	249274	249274	38.0	3.82	85.36	11	3070	1	171	0	0	0	0
GCA_015360295.1_PDT000820123.1	Firmicutes (1)	1349	172	99	97.98	0.0	0.0	2969268	0	395	395	11957	11957	7517	7517	76948	76948	37.8	3.8	86.07	11	3056	2	170	0	0	0	0
GCA_015360315.1_PDT000820122.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3071184	0	184	184	52100	52100	16691	16691	249274	249274	38.0	4.08	85.53	11	3033	1	171	0	0	0	0
GCA_015360335.1_PDT000820117.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3055220	0	224	224	26611	26611	13639	13639	104836	104836	37.9	4.31	85.75	11	3025	1	169	2	0	0	0
GCA_015360355.1_PDT000820121.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3062672	0	199	199	43560	43560	15390	15390	136614	136614	38.0	4.57	85.62	11	3035	1	171	0	0	0	0
GCA_015360395.1_PDT000820120.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3063599	0	201	201	41978	41978	15241	15241	172809	172809	38.0	3.76	85.73	11	3050	1	171	0	0	0	0
GCA_015360415.1_PDT000820099.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3047751	0	204	204	37943	37943	14939	14939	115817	115817	37.9	4.13	85.7	11	3037	1	171	0	0	0	0
GCA_015360435.1_PDT000820116.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3064253	0	200	200	35862	35862	15321	15321	164073	164073	37.9	3.67	85.57	11	3048	1	171	0	0	0	0
GCA_015360455.1_PDT000820118.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3090608	0	193	193	40814	40814	16013	16013	156134	156134	37.9	4.33	85.49	11	3042	1	169	2	0	0	0
GCA_015360475.1_PDT000820100.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2992394	0	200	200	37071	37071	14961	14961	128464	128464	38.0	4.15	85.6	11	2948	1	171	0	0	0	0
GCA_015360495.1_PDT000820119.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3083332	0	196	196	37220	37220	15731	15731	156134	156134	38.0	4.3	85.54	11	3035	1	169	2	0	0	0
GCA_015360515.1_PDT000820115.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3063983	0	201	201	40815	40815	15243	15243	172809	172809	38.0	3.89	85.65	11	3038	1	171	0	0	0	0
GCA_015360535.1_PDT000820098.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2981188	0	201	201	37101	37101	14831	14831	128464	128464	37.9	3.78	85.67	11	2932	1	171	0	0	0	0
GCA_015360555.1_PDT000820114.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3028491	0	237	237	24607	24607	12778	12778	76861	76861	37.8	3.94	85.73	11	3004	1	169	2	0	0	0
GCA_015360575.1_PDT000820113.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2994214	0	196	196	37214	37214	15276	15276	171166	171166	37.9	4.32	85.69	11	2950	1	171	0	0	0	0
GCA_015360595.1_PDT000820111.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2961420	0	171	171	47709	47709	17318	17318	134840	134840	38.1	3.91	85.87	11	2915	1	171	0	0	0	0
GCA_015360615.1_PDT000820105.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3001214	0	196	196	35220	35220	15312	15312	128505	128505	38.0	3.82	85.84	11	2944	1	171	0	0	0	0
GCA_015360635.1_PDT000820109.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	2971963	0	157	157	47471	47471	18929	18929	134628	134628	38.0	3.7	85.72	11	2923	1	164	7	0	0	0
GCA_015360655.1_PDT000820110.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3046060	0	198	198	34790	34790	15384	15384	112207	112207	37.9	4.09	85.66	11	3029	1	169	2	0	0	0
GCA_015360675.1_PDT000820107.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3050132	0	194	194	40814	40814	15722	15722	128694	128694	38.0	4.02	85.85	11	2994	1	169	2	0	0	0
GCA_015360695.1_PDT000820103.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3088032	0	190	190	41448	41448	16252	16252	192115	192115	37.8	4.05	85.39	11	3040	1	169	2	0	0	0
GCA_015360715.1_PDT000820106.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2982185	0	198	198	41359	41359	15061	15061	128933	128933	38.0	3.91	85.7	11	2927	1	171	0	0	0	0
GCA_015360735.1_PDT000820101.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2978233	0	228	228	26348	26348	13062	13062	87232	87232	37.9	3.85	85.83	11	2948	1	170	1	0	0	0
GCA_015360755.1_PDT000820104.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2950523	0	304	304	16353	16353	9705	9705	60822	60822	37.9	3.34	86.08	11	2961	1	171	0	0	0	0
GCA_015360775.1_PDT000820108.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3002071	0	189	189	37071	37071	15883	15883	123261	123261	38.0	3.94	85.72	11	2951	1	169	2	0	0	0
GCA_015360795.1_PDT000820102.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2954319	0	281	281	21394	21394	10513	10513	74937	74937	37.9	3.39	86.08	11	2943	1	171	0	0	0	0
GCA_015360835.1_PDT000820096.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2964742	0	244	244	25535	25535	12150	12150	87347	87347	37.9	3.65	86.01	11	2936	1	171	0	0	0	0
GCA_015360855.1_PDT000820095.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3018067	0	192	192	36569	36569	15719	15719	128610	128610	37.9	3.65	85.73	11	2963	1	169	2	0	0	0
GCA_015360875.1_PDT000820097.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3089102	0	191	191	41359	41359	16173	16173	129190	129190	38.0	4.04	85.76	11	3029	1	169	2	0	0	0
GCA_015360895.1_PDT000820094.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3018735	0	195	195	37101	37101	15480	15480	133316	133316	37.9	3.71	85.7	11	2967	1	169	2	0	0	0
GCA_015360915.1_PDT000802172.1	Firmicutes (1)	1349	172	99	98.99	6.06	100.0	2906199	0	144	144	67605	67605	20181	20181	197254	197254	37.7	4.39	85.65	11	2849	1	164	7	0	0	0
GCA_015267395.1_PDT000866527.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2937681	0	48	48	146543	146543	61201	61201	526520	526520	37.4	4.31	88.18	11	2816	1	166	5	0	0	0
GCA_015267455.1_PDT000866528.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2913194	0	43	43	236399	236399	67748	67748	544585	544585	37.2	5.99	87.82	11	2752	1	168	3	0	0	0
GCA_015267495.1_PDT000866230.1	Firmicutes (1)	1349	172	99	98.99	0.67	100.0	2874312	0	90	90	120117	120117	31936	31936	220225	220225	37.5	4.28	88.24	11	2782	1	169	2	0	0	0
GCA_015267515.1_PDT000866313.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2994609	0	73	73	129190	129190	41022	41022	329892	329892	37.4	4.07	87.9	11	2917	1	166	5	0	0	0
GCA_015267535.1_PDT000866281.1	Firmicutes (1)	1349	172	99	98.99	1.04	75.0	2980907	0	83	83	146543	146543	35914	35914	503549	503549	37.3	4.26	88.01	11	2918	1	167	4	0	0	0
GCA_015267555.1_PDT000866314.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3097490	0	103	103	98803	98803	30072	30072	241121	241121	37.3	4.08	87.87	11	3037	1	166	5	0	0	0
GCA_015267565.1_PDT000866220.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3046739	0	73	73	81132	81132	41736	41736	268140	268140	37.3	3.92	87.99	11	3015	1	168	3	0	0	0
GCA_015267595.1_PDT000866221.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2882690	0	69	69	218677	218677	41778	41778	772768	772768	37.4	3.91	88.4	11	2785	1	166	5	0	0	0
GCA_015267615.1_PDT000866232.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3093700	0	89	89	97938	97938	34760	34760	316099	316099	37.2	4.26	88.21	11	3020	1	171	0	0	0	0
GCA_015267635.1_PDT000866278.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3206029	0	208	208	57024	57024	15413	15413	263396	263396	37.2	3.9	87.92	11	3238	1	168	3	0	0	0
GCA_015267655.1_PDT000866279.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2872539	0	52	52	202053	202053	55241	55241	329216	329216	37.5	5.07	87.99	11	2700	1	166	5	0	0	0
GCA_015267675.1_PDT000866163.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3443496	0	144	144	112079	112079	23913	23913	304207	304207	36.8	2.98	87.65	11	3464	1	168	3	0	0	0
GCA_015267695.1_PDT000866280.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2942092	0	54	54	156379	156379	54483	54483	525330	525330	37.3	4.22	88.12	11	2828	1	171	0	0	0	0
GCA_015267715.1_PDT000866159.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2791074	0	28	28	256854	256854	99681	99681	904998	904998	37.5	4.73	88.57	11	2637	1	168	3	0	0	0
GCA_015267735.1_PDT000866217.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2795716	0	27	27	270458	270458	103545	103545	812992	812992	37.6	4.5	88.78	11	2616	1	166	5	0	0	0
GCA_015267755.1_PDT000866158.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2989936	0	36	36	372124	372124	83053	83053	527425	527425	37.3	5.08	88.11	11	2879	1	168	3	0	0	0
GCA_015267775.1_PDT000866521.1	Firmicutes (1)	1349	172	99	98.99	0.67	100.0	3063911	0	113	113	140917	140917	27114	27114	321478	321478	37.4	3.1	88.35	11	3028	1	169	2	0	0	0
GCA_015267795.1_PDT000866153.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3062157	0	84	84	156379	156379	36454	36454	483065	483065	37.2	3.83	88.26	11	3028	1	166	5	0	0	0
GCA_015267815.1_PDT000866510.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2728420	0	32	32	197403	197403	85263	85263	347404	347404	37.6	4.85	88.83	11	2575	1	168	3	0	0	0
GCA_015267835.1_PDT000866157.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2989105	0	51	51	194039	194039	58609	58609	484016	484016	37.3	4.99	88.19	11	2896	1	166	5	0	0	0
GCA_015267855.1_PDT000866155.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2994318	0	42	42	372433	372433	71293	71293	800599	800599	37.4	4.45	88.39	11	2862	1	166	5	0	0	0
GCA_015267875.1_PDT000866506.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2973576	0	54	54	196914	196914	55066	55066	544575	544575	37.2	4.91	88.07	11	2856	1	168	3	0	0	0
GCA_015267895.1_PDT000866381.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	2928925	0	46	46	188162	188162	63672	63672	487558	487558	37.6	3.98	88.27	11	2786	1	164	7	0	0	0
GCA_015267915.1_PDT000866522.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3070194	0	61	61	196908	196908	50331	50331	677558	677558	37.3	4.18	88.23	11	3028	1	164	7	0	0	0
GCA_015267935.1_PDT000866503.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3133551	0	86	86	132724	132724	36436	36436	410715	410715	37.1	4.51	88.27	11	3132	1	166	5	0	0	0
GCA_015267955.1_PDT000866509.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2815724	0	43	43	180927	180927	65481	65481	872167	872167	37.6	4.05	88.46	11	2697	1	168	3	0	0	0
GCA_015267975.1_PDT000866507.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2907897	0	44	44	236539	236539	66088	66088	544584	544584	37.3	5.96	87.82	11	2726	1	166	5	0	0	0
GCA_015267995.1_PDT000866366.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	2999881	0	61	61	372238	372238	49178	49178	544596	544596	37.3	4.16	87.84	11	2863	1	135	36	0	0	0
GCA_015268015.1_PDT000866368.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3120816	0	65	65	195697	195697	48012	48012	417470	417470	37.1	3.19	88.28	11	3066	1	171	0	0	0	0
GCA_015268035.1_PDT000866224.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3159138	0	135	135	109297	109297	23401	23401	310520	310520	37.3	4.32	88.02	11	3144	1	168	3	0	0	0
GCA_015268045.1_PDT000866363.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	2878949	0	38	38	249301	249301	75761	75761	841075	841075	37.6	4.31	88.52	11	2754	1	163	8	0	0	0
GCA_015268075.1_PDT000866364.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3046487	0	65	65	194924	194924	46869	46869	339774	339774	37.2	3.74	88.11	11	2971	1	166	0	5	0	0
GCA_015268095.1_PDT000866365.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	2895107	0	49	49	402109	402109	59083	59083	774076	774076	37.5	4.25	88.37	11	2761	1	164	7	0	0	0
GCA_015268115.1_PDT000866219.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2984551	0	39	39	238848	238848	76526	76526	703210	703210	37.4	3.72	88.16	11	2824	1	166	5	0	0	0
GCA_015268135.1_PDT000866361.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2891242	0	30	30	302626	302626	96374	96374	478368	478368	37.3	5.77	87.8	11	2724	1	166	5	0	0	0
GCA_015268155.1_PDT000866362.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3267085	0	126	126	110943	110943	25929	25929	377735	377735	37.2	4.37	87.9	11	3267	1	153	18	0	0	0
GCA_015268175.1_PDT000866226.1	Firmicutes (1)	1349	172	99	98.99	0.67	100.0	3019950	0	67	67	157676	157676	45073	45073	580735	580735	37.2	4.38	88.19	11	2962	1	169	2	0	0	0
GCA_015268195.1_PDT000866228.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2906383	0	68	68	125052	125052	42740	42740	307842	307842	37.4	3.74	88.24	11	2814	1	168	3	0	0	0
GCA_015268215.1_PDT000866359.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3032704	0	46	46	262924	262924	65928	65928	404407	404407	37.3	4.76	87.94	11	2918	1	166	5	0	0	0
GCA_015269475.1_PDT000866025.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2757573	0	29	29	218794	218794	95088	95088	447117	447117	37.6	4.2	88.76	11	2583	1	171	0	0	0	0
GCA_015269495.1_PDT000866023.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2989127	0	56	56	269519	269519	53377	53377	935995	935995	37.4	3.86	88.38	11	2873	1	168	3	0	0	0
GCA_015269515.1_PDT000866024.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2953993	0	42	42	204712	204712	70333	70333	344069	344069	37.3	4.21	88.26	11	2838	1	168	3	0	0	0
GCA_015269535.1_PDT000866022.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3009023	0	50	50	269519	269519	60180	60180	935995	935995	37.4	3.83	88.41	11	2887	1	164	7	0	0	0
GCA_015269555.1_PDT000866020.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3101721	0	104	104	292119	292119	29824	29824	589590	589590	37.3	3.14	88.44	11	3050	1	168	0	3	0	0
GCA_015269575.1_PDT000866019.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3037431	0	52	52	134280	134280	58412	58412	437480	437480	37.3	4.3	88.16	11	2907	1	164	7	0	0	0
GCA_015269595.1_PDT000866017.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2814139	0	55	55	145906	145906	51166	51166	377702	377702	37.6	4.06	88.55	11	2654	1	171	0	0	0	0
GCA_015269615.1_PDT000866018.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	2911297	0	51	51	186662	186662	57084	57084	934854	934854	37.4	4.05	88.14	11	2771	1	162	9	0	0	0
GCA_015269635.1_PDT000866012.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2952262	0	39	39	196910	196910	75699	75699	543810	543810	37.4	4.71	88.19	11	2847	1	166	5	0	0	0
GCA_015269655.1_PDT000866016.1	Firmicutes (1)	1349	172	99	98.99	7.07	100.0	3050482	0	97	97	157511	157511	31448	31448	329734	329734	37.3	3.8	87.96	11	2980	1	164	2	0	5	0
GCA_015269665.1_PDT000866014.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3073800	0	77	77	139124	139124	39919	39919	524704	524704	37.2	4.18	88.19	11	3059	1	168	3	0	0	0
GCA_015269695.1_PDT000865963.1	Firmicutes (1)	1349	172	99	98.99	6.06	100.0	3123982	0	79	79	83616	83616	39544	39544	281172	281172	37.2	3.58	88.2	11	3045	1	161	10	0	0	0
GCA_015269715.1_PDT000866011.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3073725	0	65	65	161468	161468	47288	47288	349938	349938	37.2	4.29	88.17	11	3000	1	166	5	0	0	0
